 0--1         0->1
 27--31         27->28->29->30->31
 27--32         27->26->34->33->32
 27--33         27->26->34->33
 27--34         27->26->34
 27--36         27->28->36
 27--37         27->28->36->37
 27--38         27->28->36->37->38
 27--39         27->28->36->37->38->39
 27--40         27->26->34->42->41->40
 27--41         27->26->34->42->41
 27--42         27->26->34->42
 27--43         27->28->36->44->43
 27--44         27->28->36->44
 27--45         27->28->36->44->45
 27--46         27->28->36->44->45->46
 27--47         27->28->36->44->45->46->47
 27--48         27->26->34->42->50->49->48
 27--49         27->26->34->42->50->49
 27--50         27->26->34->42->50
 27--51         27->28->36->44->52->51
 27--52         27->28->36->44->52
 27--53         27->28->36->44->52->53
 27--54         27->28->36->44->52->53->54
 27--55         27->28->36->44->52->53->54->55
 27--56         27->26->34->42->50->58->57->56
 27--57         27->26->34->42->50->58->57
 27--58         27->26->34->42->50->58
 27--59         27->28->36->44->52->60->59
 27--60         27->28->36->44->52->60
 27--61         27->28->36->44->52->60->61
 27--62         27->28->36->44->52->60->61->62
 27--63         27->28->36->44->52->60->61->62->63
 28--0         28->20->12->11->10->2->1->0
 28--1         28->20->12->11->10->2->1
 28--2         28->20->12->11->10->2
 28--4         28->20->12->4
 28--5         28->20->12->4->5
 28--6         28->20->12->4->5->6
 28--7         28->20->12->4->5->6->7
 28--8         28->20->12->11->10->9->8
 28--9         28->20->12->11->10->9
 28--10         28->20->12->11->10
 28--11         28->20->12->11
 28--12         28->20->12
 28--13         28->20->12->13
 28--14         28->20->12->13->14
 28--15         28->20->12->13->14->15
 28--16         28->27->26->25->17->16
 28--17         28->27->26->25->17
 28--19         28->20->19
 28--20         28->20
 28--21         28->20->21
 28--22         28->20->21->22
 28--23         28->20->21->22->23
 28--24         28->27->26->25->24
 28--25         28->27->26->25
 28--26         28->27->26
 28--27         28->27
 28--29         28->29
 28--30         28->29->30
 28--31         28->29->30->31
 28--32         28->27->26->34->33->32
 28--33         28->27->26->34->33
 28--34         28->27->26->34
 28--36         28->36
 28--37         28->36->37
 28--38         28->36->37->38
 28--39         28->36->37->38->39
 28--40         28->36->44->43->42->41->40
 28--41         28->36->44->43->42->41
 28--42         28->36->44->43->42
 28--43         28->36->44->43
 28--44         28->36->44
 28--45         28->36->44->45
 28--46         28->36->44->45->46
 28--47         28->36->44->45->46->47
 28--48         28->36->44->52->51->50->49->48
 28--49         28->36->44->52->51->50->49
 28--50         28->36->44->52->51->50
 28--51         28->36->44->52->51
 28--52         28->36->44->52
 28--53         28->36->44->52->53
 28--54         28->36->44->52->53->54
 28--55         28->36->44->52->53->54->55
 28--56         28->36->44->52->60->59->58->57->56
 28--57         28->36->44->52->60->59->58->57
 28--58         28->36->44->52->60->59->58
 28--59         28->36->44->52->60->59
 28--60         28->36->44->52->60
 28--61         28->36->44->52->60->61
 28--62         28->36->44->52->60->61->62
 28--63         28->36->44->52->60->61->62->63
 29--0         29->21->13->12->11->10->2->1->0
 29--1         29->21->13->12->11->10->2->1
 29--2         29->21->13->12->11->10->2
 29--4         29->21->13->5->4
 29--5         29->21->13->5
 29--6         29->21->13->5->6
 29--7         29->21->13->5->6->7
 29--8         29->21->13->12->11->10->9->8
 29--9         29->21->13->12->11->10->9
 29--10         29->21->13->12->11->10
 29--11         29->21->13->12->11
 29--12         29->21->13->12
 29--13         29->21->13
 29--14         29->21->13->14
 29--15         29->21->13->14->15
 29--16         29->28->27->26->25->17->16
 29--17         29->28->27->26->25->17
 29--19         29->21->20->19
 29--20         29->21->20
 29--21         29->21
 29--22         29->21->22
 29--23         29->21->22->23
 29--24         29->28->27->26->25->24
 29--25         29->28->27->26->25
 29--26         29->28->27->26
 29--27         29->28->27
 29--28         29->28
 29--30         29->30
 29--31         29->30->31
 29--32         29->28->27->26->34->33->32
 29--33         29->28->27->26->34->33
 29--34         29->28->27->26->34
 29--36         29->37->36
 29--37         29->37
 29--38         29->37->38
 29--39         29->37->38->39
 29--40         29->37->45->44->43->42->41->40
 29--41         29->37->45->44->43->42->41
 29--42         29->37->45->44->43->42
 29--43         29->37->45->44->43
 29--44         29->37->45->44
 29--45         29->37->45
 29--46         29->37->45->46
 29--47         29->37->45->46->47
 29--48         29->37->45->53->52->51->50->49->48
 29--49         29->37->45->53->52->51->50->49
 29--50         29->37->45->53->52->51->50
 29--51         29->37->45->53->52->51
 29--52         29->37->45->53->52
 29--53         29->37->45->53
 29--54         29->37->45->53->54
 29--55         29->37->45->53->54->55
 29--56         29->37->45->53->61->60->59->58->57->56
 29--57         29->37->45->53->61->60->59->58->57
 29--58         29->37->45->53->61->60->59->58
 29--59         29->37->45->53->61->60->59
 29--60         29->37->45->53->61->60
 29--61         29->37->45->53->61
 29--62         29->37->45->53->61->62
 29--63         29->37->45->53->61->62->63
 30--0         30->22->14->13->12->11->10->2->1->0
 30--1         30->22->14->13->12->11->10->2->1
 30--2         30->22->14->13->12->11->10->2
 30--4         30->22->14->6->5->4
 30--5         30->22->14->6->5
 30--6         30->22->14->6
 30--7         30->22->14->6->7
 30--8         30->22->14->13->12->11->10->9->8
 30--9         30->22->14->13->12->11->10->9
 30--10         30->22->14->13->12->11->10
 30--11         30->22->14->13->12->11
 30--12         30->22->14->13->12
 30--13         30->22->14->13
 30--14         30->22->14
 30--15         30->22->14->15
 30--16         30->29->28->27->26->25->17->16
 30--17         30->29->28->27->26->25->17
 30--19         30->22->21->20->19
 30--20         30->22->21->20
 30--21         30->22->21
 30--22         30->22
 30--23         30->22->23
 30--24         30->29->28->27->26->25->24
 30--25         30->29->28->27->26->25
 30--26         30->29->28->27->26
 30--27         30->29->28->27
 30--28         30->29->28
 30--29         30->29
 30--31         30->31
 30--32         30->29->28->27->26->34->33->32
 30--33         30->29->28->27->26->34->33
 30--34         30->29->28->27->26->34
 30--36         30->38->37->36
 30--37         30->38->37
 30--38         30->38
 30--39         30->38->39
 30--40         30->38->46->45->44->43->42->41->40
 30--41         30->38->46->45->44->43->42->41
 30--42         30->38->46->45->44->43->42
 30--43         30->38->46->45->44->43
 30--44         30->38->46->45->44
 30--45         30->38->46->45
 30--46         30->38->46
 30--47         30->38->46->47
 30--48         30->38->46->54->53->52->51->50->49->48
 30--49         30->38->46->54->53->52->51->50->49
 30--50         30->38->46->54->53->52->51->50
 30--51         30->38->46->54->53->52->51
 30--52         30->38->46->54->53->52
 30--53         30->38->46->54->53
 30--54         30->38->46->54
 30--55         30->38->46->54->55
 30--56         30->38->46->54->62->61->60->59->58->57->56
 30--57         30->38->46->54->62->61->60->59->58->57
 30--58         30->38->46->54->62->61->60->59->58
 30--59         30->38->46->54->62->61->60->59
 30--60         30->38->46->54->62->61->60
 30--61         30->38->46->54->62->61
 30--62         30->38->46->54->62
 30--63         30->38->46->54->62->63
 31--0         31->23->15->14->13->12->11->10->2->1->0
 31--1         31->23->15->14->13->12->11->10->2->1
 31--2         31->23->15->14->13->12->11->10->2
 31--4         31->23->15->7->6->5->4
 31--5         31->23->15->7->6->5
 31--6         31->23->15->7->6
 31--7         31->23->15->7
 31--8         31->23->15->14->13->12->11->10->9->8
 31--9         31->23->15->14->13->12->11->10->9
 31--10         31->23->15->14->13->12->11->10
 31--11         31->23->15->14->13->12->11
 31--12         31->23->15->14->13->12
 31--13         31->23->15->14->13
 31--14         31->23->15->14
 31--15         31->23->15
 31--16         31->30->29->28->27->26->25->17->16
 31--17         31->30->29->28->27->26->25->17
 31--19         31->23->22->21->20->19
 31--20         31->23->22->21->20
 31--21         31->23->22->21
 31--22         31->23->22
 31--23         31->23
 31--24         31->30->29->28->27->26->25->24
 31--25         31->30->29->28->27->26->25
 31--26         31->30->29->28->27->26
 31--27         31->30->29->28->27
 31--28         31->30->29->28
 31--29         31->30->29
 31--30         31->30
 31--32         31->30->29->28->27->26->34->33->32
 31--33         31->30->29->28->27->26->34->33
 31--34         31->30->29->28->27->26->34
 31--36         31->39->38->37->36
 31--37         31->39->38->37
 31--38         31->39->38
 31--39         31->39
 31--40         31->39->47->46->45->44->43->42->41->40
 31--41         31->39->47->46->45->44->43->42->41
 31--42         31->39->47->46->45->44->43->42
 31--43         31->39->47->46->45->44->43
 31--44         31->39->47->46->45->44
 31--45         31->39->47->46->45
 31--46         31->39->47->46
 31--47         31->39->47
 31--48         31->39->47->55->54->53->52->51->50->49->48
 31--49         31->39->47->55->54->53->52->51->50->49
 31--50         31->39->47->55->54->53->52->51->50
 31--51         31->39->47->55->54->53->52->51
 31--52         31->39->47->55->54->53->52
 31--53         31->39->47->55->54->53
 31--54         31->39->47->55->54
 31--55         31->39->47->55
 31--56         31->39->47->55->63->62->61->60->59->58->57->56
 31--57         31->39->47->55->63->62->61->60->59->58->57
 31--58         31->39->47->55->63->62->61->60->59->58
 31--59         31->39->47->55->63->62->61->60->59
 31--60         31->39->47->55->63->62->61->60
 31--61         31->39->47->55->63->62->61
 31--62         31->39->47->55->63->62
 31--63         31->39->47->55->63
 32--0         32->24->16->8->0
 32--1         32->24->16->8->0->1
 32--2         32->24->16->8->0->1->2
 32--4         32->24->16->8->9->10->11->12->4
 32--5         32->24->16->8->9->10->11->12->4->5
 32--6         32->24->16->8->9->10->11->12->4->5->6
 32--7         32->24->16->8->9->10->11->12->4->5->6->7
 32--8         32->24->16->8
 32--9         32->24->16->8->9
 32--10         32->24->16->8->9->10
 32--11         32->24->16->8->9->10->11
 32--12         32->24->16->8->9->10->11->12
 32--13         32->24->16->8->9->10->11->12->13
 32--14         32->24->16->8->9->10->11->12->13->14
 32--15         32->24->16->8->9->10->11->12->13->14->15
 32--16         32->24->16
 32--17         32->24->16->17
 32--19         32->24->25->26->27->19
 32--20         32->24->25->26->27->19->20
 32--21         32->24->25->26->27->19->20->21
 32--22         32->24->25->26->27->19->20->21->22
 32--23         32->24->25->26->27->19->20->21->22->23
 32--24         32->24
 32--25         32->24->25
 32--26         32->24->25->26
 32--27         32->24->25->26->27
 32--28         32->24->25->26->27->28
 32--29         32->24->25->26->27->28->29
 32--30         32->24->25->26->27->28->29->30
 32--31         32->24->25->26->27->28->29->30->31
 32--33         32->33
 32--34         32->33->34
 32--36         32->40->41->42->43->44->36
 32--37         32->40->41->42->43->44->36->37
 32--38         32->40->41->42->43->44->36->37->38
 32--39         32->40->41->42->43->44->36->37->38->39
 32--40         32->40
 32--41         32->40->41
 32--42         32->40->41->42
 32--43         32->40->41->42->43
 32--44         32->40->41->42->43->44
 32--45         32->40->41->42->43->44->45
 32--46         32->40->41->42->43->44->45->46
 32--47         32->40->41->42->43->44->45->46->47
 32--48         32->40->48
 32--49         32->40->48->49
 32--50         32->40->48->49->50
 32--51         32->40->48->49->50->51
 32--52         32->40->48->49->50->51->52
 32--53         32->40->48->49->50->51->52->53
 32--54         32->40->48->49->50->51->52->53->54
 32--55         32->40->48->49->50->51->52->53->54->55
 32--56         32->40->48->56
 32--57         32->40->48->56->57
 32--58         32->40->48->56->57->58
 32--59         32->40->48->56->57->58->59
 32--60         32->40->48->56->57->58->59->60
 32--61         32->40->48->56->57->58->59->60->61
 32--62         32->40->48->56->57->58->59->60->61->62
 32--63         32->40->48->56->57->58->59->60->61->62->63
 33--0         33->25->17->9->1->0
 33--1         33->25->17->9->1
 33--2         33->25->17->9->1->2
 33--4         33->25->17->9->10->11->12->4
 33--5         33->25->17->9->10->11->12->4->5
 33--6         33->25->17->9->10->11->12->4->5->6
 33--7         33->25->17->9->10->11->12->4->5->6->7
 33--8         33->25->17->9->8
 33--9         33->25->17->9
 33--10         33->25->17->9->10
 33--11         33->25->17->9->10->11
 33--12         33->25->17->9->10->11->12
 33--13         33->25->17->9->10->11->12->13
 33--14         33->25->17->9->10->11->12->13->14
 33--15         33->25->17->9->10->11->12->13->14->15
 33--16         33->25->17->16
 33--17         33->25->17
 33--19         33->25->26->27->19
 33--20         33->25->26->27->19->20
 33--21         33->25->26->27->19->20->21
 33--22         33->25->26->27->19->20->21->22
 33--23         33->25->26->27->19->20->21->22->23
 33--24         33->25->24
 33--25         33->25
 33--26         33->25->26
 33--27         33->25->26->27
 33--28         33->25->26->27->28
 33--29         33->25->26->27->28->29
 33--30         33->25->26->27->28->29->30
 33--31         33->25->26->27->28->29->30->31
 33--32         33->32
 33--34         33->34
 33--36         33->41->42->43->44->36
 33--37         33->41->42->43->44->36->37
 33--38         33->41->42->43->44->36->37->38
 33--39         33->41->42->43->44->36->37->38->39
 33--40         33->41->40
 33--41         33->41
 33--42         33->41->42
 33--43         33->41->42->43
 33--44         33->41->42->43->44
 33--45         33->41->42->43->44->45
 33--46         33->41->42->43->44->45->46
 33--47         33->41->42->43->44->45->46->47
 33--48         33->41->49->48
 33--49         33->41->49
 33--50         33->41->49->50
 33--51         33->41->49->50->51
 33--52         33->41->49->50->51->52
 33--53         33->41->49->50->51->52->53
 33--54         33->41->49->50->51->52->53->54
 33--55         33->41->49->50->51->52->53->54->55
 33--56         33->41->49->57->56
 33--57         33->41->49->57
 33--58         33->41->49->57->58
 33--59         33->41->49->57->58->59
 33--60         33->41->49->57->58->59->60
 33--61         33->41->49->57->58->59->60->61
 33--62         33->41->49->57->58->59->60->61->62
 33--63         33->41->49->57->58->59->60->61->62->63
 34--0         34->26->25->17->9->1->0
 34--1         34->26->25->17->9->1
 34--2         34->26->27->19->11->10->2
 34--4         34->26->27->19->11->12->4
 34--5         34->26->27->19->11->12->4->5
 34--6         34->26->27->19->11->12->4->5->6
 34--7         34->26->27->19->11->12->4->5->6->7
 34--8         34->26->25->17->9->8
 34--9         34->26->25->17->9
 34--10         34->26->27->19->11->10
 34--11         34->26->27->19->11
 34--12         34->26->27->19->11->12
 34--13         34->26->27->19->11->12->13
 34--14         34->26->27->19->11->12->13->14
 34--15         34->26->27->19->11->12->13->14->15
 34--16         34->26->25->17->16
 34--17         34->26->25->17
 34--19         34->26->27->19
 34--20         34->26->27->19->20
 34--21         34->26->27->19->20->21
 34--22         34->26->27->19->20->21->22
 34--23         34->26->27->19->20->21->22->23
 34--24         34->26->25->24
 34--25         34->26->25
 34--26         34->26
 34--27         34->26->27
 34--28         34->26->27->28
 34--29         34->26->27->28->29
 34--30         34->26->27->28->29->30
 34--31         34->26->27->28->29->30->31
 34--32         34->33->32
 34--33         34->33
 34--36         34->42->43->44->36
 34--37         34->42->43->44->36->37
 34--38         34->42->43->44->36->37->38
 34--39         34->42->43->44->36->37->38->39
 34--40         34->42->41->40
 34--41         34->42->41
 34--42         34->42
 34--43         34->42->43
 34--44         34->42->43->44
 34--45         34->42->43->44->45
 34--46         34->42->43->44->45->46
 34--47         34->42->43->44->45->46->47
 34--48         34->42->50->49->48
 34--49         34->42->50->49
 34--50         34->42->50
 34--51         34->42->50->51
 34--52         34->42->50->51->52
 34--53         34->42->50->51->52->53
 34--54         34->42->50->51->52->53->54
 34--55         34->42->50->51->52->53->54->55
 34--56         34->42->50->58->57->56
 34--57         34->42->50->58->57
 34--58         34->42->50->58
 34--59         34->42->50->58->59
 34--60         34->42->50->58->59->60
 34--61         34->42->50->58->59->60->61
 34--62         34->42->50->58->59->60->61->62
 34--63         34->42->50->58->59->60->61->62->63
 36--0         36->28->20->12->11->10->2->1->0
 36--1         36->28->20->12->11->10->2->1
 36--2         36->28->20->12->11->10->2
 36--4         36->28->20->12->4
 36--5         36->28->20->12->4->5
 36--6         36->28->20->12->4->5->6
 36--7         36->28->20->12->4->5->6->7
 36--8         36->28->20->12->11->10->9->8
 36--9         36->28->20->12->11->10->9
 36--10         36->28->20->12->11->10
 36--11         36->28->20->12->11
 36--12         36->28->20->12
 36--13         36->28->20->12->13
 36--14         36->28->20->12->13->14
 36--15         36->28->20->12->13->14->15
 36--16         36->28->27->26->25->17->16
 36--17         36->28->27->26->25->17
 36--19         36->28->20->19
 36--20         36->28->20
 36--21         36->28->20->21
 36--22         36->28->20->21->22
 36--23         36->28->20->21->22->23
 36--24         36->28->27->26->25->24
 36--25         36->28->27->26->25
 36--26         36->28->27->26
 36--27         36->28->27
 36--28         36->28
 36--29         36->28->29
 36--30         36->28->29->30
 36--31         36->28->29->30->31
 36--32         36->44->43->42->34->33->32
 36--33         36->44->43->42->34->33
 36--34         36->44->43->42->34
 36--37         36->37
 36--38         36->37->38
 36--39         36->37->38->39
 36--40         36->44->43->42->41->40
 36--41         36->44->43->42->41
 36--42         36->44->43->42
 36--43         36->44->43
 36--44         36->44
 36--45         36->44->45
 36--46         36->44->45->46
 36--47         36->44->45->46->47
 36--48         36->44->52->51->50->49->48
 36--49         36->44->52->51->50->49
 36--50         36->44->52->51->50
 36--51         36->44->52->51
 36--52         36->44->52
 36--53         36->44->52->53
 36--54         36->44->52->53->54
 36--55         36->44->52->53->54->55
 36--56         36->44->52->60->59->58->57->56
 36--57         36->44->52->60->59->58->57
 36--58         36->44->52->60->59->58
 36--59         36->44->52->60->59
 36--60         36->44->52->60
 36--61         36->44->52->60->61
 36--62         36->44->52->60->61->62
 36--63         36->44->52->60->61->62->63
 37--0         37->29->21->13->12->11->10->2->1->0
 37--1         37->29->21->13->12->11->10->2->1
 37--2         37->29->21->13->12->11->10->2
 37--4         37->29->21->13->5->4
 37--5         37->29->21->13->5
 37--6         37->29->21->13->5->6
 37--7         37->29->21->13->5->6->7
 37--8         37->29->21->13->12->11->10->9->8
 37--9         37->29->21->13->12->11->10->9
 37--10         37->29->21->13->12->11->10
 37--11         37->29->21->13->12->11
 37--12         37->29->21->13->12
 37--13         37->29->21->13
 37--14         37->29->21->13->14
 37--15         37->29->21->13->14->15
 37--16         37->29->28->27->26->25->17->16
 37--17         37->29->28->27->26->25->17
 37--19         37->29->21->20->19
 37--20         37->29->21->20
 37--21         37->29->21
 37--22         37->29->21->22
 37--23         37->29->21->22->23
 37--24         37->29->28->27->26->25->24
 37--25         37->29->28->27->26->25
 37--26         37->29->28->27->26
 37--27         37->29->28->27
 37--28         37->29->28
 37--29         37->29
 37--30         37->29->30
 37--31         37->29->30->31
 37--32         37->45->44->43->42->34->33->32
 37--33         37->45->44->43->42->34->33
 37--34         37->45->44->43->42->34
 37--36         37->36
 37--38         37->38
 37--39         37->38->39
 37--40         37->45->44->43->42->41->40
 37--41         37->45->44->43->42->41
 37--42         37->45->44->43->42
 37--43         37->45->44->43
 37--44         37->45->44
 37--45         37->45
 37--46         37->45->46
 37--47         37->45->46->47
 37--48         37->45->53->52->51->50->49->48
 37--49         37->45->53->52->51->50->49
 37--50         37->45->53->52->51->50
 37--51         37->45->53->52->51
 37--52         37->45->53->52
 37--53         37->45->53
 37--54         37->45->53->54
 37--55         37->45->53->54->55
 37--56         37->45->53->61->60->59->58->57->56
 37--57         37->45->53->61->60->59->58->57
 37--58         37->45->53->61->60->59->58
 37--59         37->45->53->61->60->59
 37--60         37->45->53->61->60
 37--61         37->45->53->61
 37--62         37->45->53->61->62
 37--63         37->45->53->61->62->63
 38--0         38->30->22->14->13->12->11->10->2->1->0
 38--1         38->30->22->14->13->12->11->10->2->1
 38--2         38->30->22->14->13->12->11->10->2
 38--4         38->30->22->14->6->5->4
 38--5         38->30->22->14->6->5
 38--6         38->30->22->14->6
 38--7         38->30->22->14->6->7
 38--8         38->30->22->14->13->12->11->10->9->8
 38--9         38->30->22->14->13->12->11->10->9
 38--10         38->30->22->14->13->12->11->10
 38--11         38->30->22->14->13->12->11
 38--12         38->30->22->14->13->12
 38--13         38->30->22->14->13
 38--14         38->30->22->14
 38--15         38->30->22->14->15
 38--16         38->30->29->28->27->26->25->17->16
 38--17         38->30->29->28->27->26->25->17
 38--19         38->30->22->21->20->19
 38--20         38->30->22->21->20
 38--21         38->30->22->21
 38--22         38->30->22
 38--23         38->30->22->23
 38--24         38->30->29->28->27->26->25->24
 38--25         38->30->29->28->27->26->25
 38--26         38->30->29->28->27->26
 38--27         38->30->29->28->27
 38--28         38->30->29->28
 38--29         38->30->29
 38--30         38->30
 38--31         38->30->31
 38--32         38->46->45->44->43->42->34->33->32
 38--33         38->46->45->44->43->42->34->33
 38--34         38->46->45->44->43->42->34
 38--36         38->37->36
 38--37         38->37
 38--39         38->39
 38--40         38->46->45->44->43->42->41->40
 38--41         38->46->45->44->43->42->41
 38--42         38->46->45->44->43->42
 38--43         38->46->45->44->43
 38--44         38->46->45->44
 38--45         38->46->45
 38--46         38->46
 38--47         38->46->47
 38--48         38->46->54->53->52->51->50->49->48
 38--49         38->46->54->53->52->51->50->49
 38--50         38->46->54->53->52->51->50
 38--51         38->46->54->53->52->51
 38--52         38->46->54->53->52
 38--53         38->46->54->53
 38--54         38->46->54
 38--55         38->46->54->55
 38--56         38->46->54->62->61->60->59->58->57->56
 38--57         38->46->54->62->61->60->59->58->57
 38--58         38->46->54->62->61->60->59->58
 38--59         38->46->54->62->61->60->59
 38--60         38->46->54->62->61->60
 38--61         38->46->54->62->61
 38--62         38->46->54->62
 38--63         38->46->54->62->63
 39--0         39->31->23->15->14->13->12->11->10->2->1->0
 39--1         39->31->23->15->14->13->12->11->10->2->1
 39--2         39->31->23->15->14->13->12->11->10->2
 39--4         39->31->23->15->7->6->5->4
 39--5         39->31->23->15->7->6->5
 39--6         39->31->23->15->7->6
 39--7         39->31->23->15->7
 39--8         39->31->23->15->14->13->12->11->10->9->8
 39--9         39->31->23->15->14->13->12->11->10->9
 39--10         39->31->23->15->14->13->12->11->10
 39--11         39->31->23->15->14->13->12->11
 39--12         39->31->23->15->14->13->12
 39--13         39->31->23->15->14->13
 39--14         39->31->23->15->14
 39--15         39->31->23->15
 39--16         39->31->30->29->28->27->26->25->17->16
 39--17         39->31->30->29->28->27->26->25->17
 39--19         39->31->23->22->21->20->19
 39--20         39->31->23->22->21->20
 39--21         39->31->23->22->21
 39--22         39->31->23->22
 39--23         39->31->23
 39--24         39->31->30->29->28->27->26->25->24
 39--25         39->31->30->29->28->27->26->25
 39--26         39->31->30->29->28->27->26
 39--27         39->31->30->29->28->27
 39--28         39->31->30->29->28
 39--29         39->31->30->29
 39--30         39->31->30
 39--31         39->31
 39--32         39->47->46->45->44->43->42->34->33->32
 39--33         39->47->46->45->44->43->42->34->33
 39--34         39->47->46->45->44->43->42->34
 39--36         39->38->37->36
 39--37         39->38->37
 39--38         39->38
 39--40         39->47->46->45->44->43->42->41->40
 39--41         39->47->46->45->44->43->42->41
 39--42         39->47->46->45->44->43->42
 39--43         39->47->46->45->44->43
 39--44         39->47->46->45->44
 39--45         39->47->46->45
 39--46         39->47->46
 39--47         39->47
 39--48         39->47->55->54->53->52->51->50->49->48
 39--49         39->47->55->54->53->52->51->50->49
 39--50         39->47->55->54->53->52->51->50
 39--51         39->47->55->54->53->52->51
 39--52         39->47->55->54->53->52
 39--53         39->47->55->54->53
 39--54         39->47->55->54
 39--55         39->47->55
 39--56         39->47->55->63->62->61->60->59->58->57->56
 39--57         39->47->55->63->62->61->60->59->58->57
 39--58         39->47->55->63->62->61->60->59->58
 39--59         39->47->55->63->62->61->60->59
 39--60         39->47->55->63->62->61->60
 39--61         39->47->55->63->62->61
 39--62         39->47->55->63->62
 39--63         39->47->55->63
 40--0         40->32->24->16->8->0
 40--1         40->32->24->16->8->0->1
 40--2         40->32->24->16->8->0->1->2
 40--4         40->32->24->16->8->9->10->11->12->4
 40--5         40->32->24->16->8->9->10->11->12->4->5
 40--6         40->32->24->16->8->9->10->11->12->4->5->6
 40--7         40->32->24->16->8->9->10->11->12->4->5->6->7
 40--8         40->32->24->16->8
 40--9         40->32->24->16->8->9
 40--10         40->32->24->16->8->9->10
 40--11         40->32->24->16->8->9->10->11
 40--12         40->32->24->16->8->9->10->11->12
 40--13         40->32->24->16->8->9->10->11->12->13
 40--14         40->32->24->16->8->9->10->11->12->13->14
 40--15         40->32->24->16->8->9->10->11->12->13->14->15
 40--16         40->32->24->16
 40--17         40->32->24->16->17
 40--19         40->32->24->25->26->27->19
 40--20         40->32->24->25->26->27->19->20
 40--21         40->32->24->25->26->27->19->20->21
 40--22         40->32->24->25->26->27->19->20->21->22
 40--23         40->32->24->25->26->27->19->20->21->22->23
 40--24         40->32->24
 40--25         40->32->24->25
 40--26         40->32->24->25->26
 40--27         40->32->24->25->26->27
 40--28         40->32->24->25->26->27->28
 40--29         40->32->24->25->26->27->28->29
 40--30         40->32->24->25->26->27->28->29->30
 40--31         40->32->24->25->26->27->28->29->30->31
 40--32         40->32
 40--33         40->32->33
 40--34         40->32->33->34
 40--36         40->41->42->43->44->36
 40--37         40->41->42->43->44->36->37
 40--38         40->41->42->43->44->36->37->38
 40--39         40->41->42->43->44->36->37->38->39
 40--41         40->41
 40--42         40->41->42
 40--43         40->41->42->43
 40--44         40->41->42->43->44
 40--45         40->41->42->43->44->45
 40--46         40->41->42->43->44->45->46
 40--47         40->41->42->43->44->45->46->47
 40--48         40->48
 40--49         40->48->49
 40--50         40->48->49->50
 40--51         40->48->49->50->51
 40--52         40->48->49->50->51->52
 40--53         40->48->49->50->51->52->53
 40--54         40->48->49->50->51->52->53->54
 40--55         40->48->49->50->51->52->53->54->55
 40--56         40->48->56
 40--57         40->48->56->57
 40--58         40->48->56->57->58
 40--59         40->48->56->57->58->59
 40--60         40->48->56->57->58->59->60
 40--61         40->48->56->57->58->59->60->61
 40--62         40->48->56->57->58->59->60->61->62
 40--63         40->48->56->57->58->59->60->61->62->63
 41--0         41->33->25->17->9->1->0
 41--1         41->33->25->17->9->1
 41--2         41->33->25->17->9->1->2
 41--4         41->33->25->17->9->10->11->12->4
 41--5         41->33->25->17->9->10->11->12->4->5
 41--6         41->33->25->17->9->10->11->12->4->5->6
 41--7         41->33->25->17->9->10->11->12->4->5->6->7
 41--8         41->33->25->17->9->8
 41--9         41->33->25->17->9
 41--10         41->33->25->17->9->10
 41--11         41->33->25->17->9->10->11
 41--12         41->33->25->17->9->10->11->12
 41--13         41->33->25->17->9->10->11->12->13
 41--14         41->33->25->17->9->10->11->12->13->14
 41--15         41->33->25->17->9->10->11->12->13->14->15
 41--16         41->33->25->17->16
 41--17         41->33->25->17
 41--19         41->33->25->26->27->19
 41--20         41->33->25->26->27->19->20
 41--21         41->33->25->26->27->19->20->21
 41--22         41->33->25->26->27->19->20->21->22
 41--23         41->33->25->26->27->19->20->21->22->23
 41--24         41->33->25->24
 41--25         41->33->25
 41--26         41->33->25->26
 41--27         41->33->25->26->27
 41--28         41->33->25->26->27->28
 41--29         41->33->25->26->27->28->29
 41--30         41->33->25->26->27->28->29->30
 41--31         41->33->25->26->27->28->29->30->31
 41--32         41->33->32
 41--33         41->33
 41--34         41->33->34
 41--36         41->42->43->44->36
 41--37         41->42->43->44->36->37
 41--38         41->42->43->44->36->37->38
 41--39         41->42->43->44->36->37->38->39
 41--40         41->40
 41--42         41->42
 41--43         41->42->43
 41--44         41->42->43->44
 41--45         41->42->43->44->45
 41--46         41->42->43->44->45->46
 41--47         41->42->43->44->45->46->47
 41--48         41->49->48
 41--49         41->49
 41--50         41->49->50
 41--51         41->49->50->51
 41--52         41->49->50->51->52
 41--53         41->49->50->51->52->53
 41--54         41->49->50->51->52->53->54
 41--55         41->49->50->51->52->53->54->55
 41--56         41->49->57->56
 41--57         41->49->57
 41--58         41->49->57->58
 41--59         41->49->57->58->59
 41--60         41->49->57->58->59->60
 41--61         41->49->57->58->59->60->61
 41--62         41->49->57->58->59->60->61->62
 41--63         41->49->57->58->59->60->61->62->63
 42--0         42->34->26->25->17->9->1->0
 42--1         42->34->26->25->17->9->1
 42--2         42->34->26->27->19->11->10->2
 42--4         42->34->26->27->19->11->12->4
 42--5         42->34->26->27->19->11->12->4->5
 42--6         42->34->26->27->19->11->12->4->5->6
 42--7         42->34->26->27->19->11->12->4->5->6->7
 42--8         42->34->26->25->17->9->8
 42--9         42->34->26->25->17->9
 42--10         42->34->26->27->19->11->10
 42--11         42->34->26->27->19->11
 42--12         42->34->26->27->19->11->12
 42--13         42->34->26->27->19->11->12->13
