 0--1         0->1
 8--31         8->16->24->25->26->27->28->29->30->31
 8--32         8->16->24->32
 8--33         8->16->24->32->33
 8--34         8->16->24->32->33->34
 8--36         8->16->24->25->26->27->28->36
 8--37         8->16->24->25->26->27->28->36->37
 8--38         8->16->24->25->26->27->28->36->37->38
 8--39         8->16->24->25->26->27->28->36->37->38->39
 8--40         8->16->24->32->40
 8--41         8->16->24->32->40->41
 8--42         8->16->24->32->40->41->42
 8--43         8->16->24->32->40->41->42->43
 8--44         8->16->24->32->40->41->42->43->44
 8--45         8->16->24->32->40->41->42->43->44->45
 8--46         8->16->24->32->40->41->42->43->44->45->46
 8--47         8->16->24->32->40->41->42->43->44->45->46->47
 8--48         8->16->24->32->40->48
 8--49         8->16->24->32->40->48->49
 8--50         8->16->24->32->40->48->49->50
 8--51         8->16->24->32->40->48->49->50->51
 8--52         8->16->24->32->40->48->49->50->51->52
 8--53         8->16->24->32->40->48->49->50->51->52->53
 8--54         8->16->24->32->40->48->49->50->51->52->53->54
 8--55         8->16->24->32->40->48->49->50->51->52->53->54->55
 8--56         8->16->24->32->40->48->56
 8--57         8->16->24->32->40->48->56->57
 8--58         8->16->24->32->40->48->56->57->58
 8--59         8->16->24->32->40->48->56->57->58->59
 8--60         8->16->24->32->40->48->56->57->58->59->60
 8--61         8->16->24->32->40->48->56->57->58->59->60->61
 8--62         8->16->24->32->40->48->56->57->58->59->60->61->62
 8--63         8->16->24->32->40->48->56->57->58->59->60->61->62->63
 9--0         9->1->0
 9--1         9->1
 9--2         9->1->2
 9--4         9->10->11->12->4
 9--5         9->10->11->12->4->5
 9--6         9->10->11->12->4->5->6
 9--7         9->10->11->12->4->5->6->7
 9--8         9->8
 9--10         9->10
 9--11         9->10->11
 9--12         9->10->11->12
 9--13         9->10->11->12->13
 9--14         9->10->11->12->13->14
 9--15         9->10->11->12->13->14->15
 9--16         9->17->16
 9--17         9->17
 9--19         9->10->11->19
 9--20         9->10->11->19->20
 9--21         9->10->11->19->20->21
 9--22         9->10->11->19->20->21->22
 9--23         9->10->11->19->20->21->22->23
 9--24         9->17->25->24
 9--25         9->17->25
 9--26         9->17->25->26
 9--27         9->17->25->26->27
 9--28         9->17->25->26->27->28
 9--29         9->17->25->26->27->28->29
 9--30         9->17->25->26->27->28->29->30
 9--31         9->17->25->26->27->28->29->30->31
 9--32         9->17->25->33->32
 9--33         9->17->25->33
 9--34         9->17->25->33->34
 9--36         9->17->25->26->27->28->36
 9--37         9->17->25->26->27->28->36->37
 9--38         9->17->25->26->27->28->36->37->38
 9--39         9->17->25->26->27->28->36->37->38->39
 9--40         9->17->25->33->41->40
 9--41         9->17->25->33->41
 9--42         9->17->25->33->41->42
 9--43         9->17->25->33->41->42->43
 9--44         9->17->25->33->41->42->43->44
 9--45         9->17->25->33->41->42->43->44->45
 9--46         9->17->25->33->41->42->43->44->45->46
 9--47         9->17->25->33->41->42->43->44->45->46->47
 9--48         9->17->25->33->41->49->48
 9--49         9->17->25->33->41->49
 9--50         9->17->25->33->41->49->50
 9--51         9->17->25->33->41->49->50->51
 9--52         9->17->25->33->41->49->50->51->52
